Subject,Catalog Nbr,Descr,Class Section,Meeting Time/Days,Meeting Dates,Room,Instructors
CS,552,Operating Systems,3,12:00 pm-01:15 pm TuTh,08/26/2019 - 12/13/2019,240,"Jain, Amit"
CS,561,Theory Of Computation,3,,,,"Sherman, Elena"
CS,567,Applied Cryptography,1,01:30 pm-02:45 pm MoWe,08/26/2019 - 12/13/2019,259,"Dagher,Gaby"
CS,573,Adv Software Engineering,1,03:00 pm-04:15 pm MoWe,08/26/2019 - 12/13/2019,260,"Xu,Dianxiang"
CS-HU,130,Foundational Values,1,09:00 am-10:15 am TuTh,08/26/2019 - 09/27/2019,260,"Winiecki,Donald"
CS-HU,130,Foundational Values,2,12:00 pm-01:15 pm TuTh,09/30/2019 - 11/01/2019,259,"Winiecki,Donald"
CS-HU,130,Foundational Values,3,09:00 am-10:15 am TuTh,11/04/2019 - 12/13/2019,260,"Winiecki,Donald"
CS-HU,153,Navigating Computer Systems,1,09:00 am-10:15 am Fr,08/26/2019 - 10/11/2019,,"Hindman,Lucas S"
CS-HU,153,Navigating Computer Systems,2,09:00 am-10:15 am Fr,08/26/2019 - 10/11/2019,,"Hindman,Lucas S"
CS-HU,153,Navigating Computer Systems,3,09:00 am-10:15 am We,08/26/2019 - 10/11/2019,,"Hindman,Lucas S"
CS-HU,250,Introduction to Version Contro,1,01:30 pm-02:45 pm Mo,08/26/2019 - 09/27/2019,260,"Panter,Shane Kay"
CS-HU,250,Introduction to Version Contro,2,01:30 pm-02:45 pm Tu,08/26/2019 - 09/27/2019,260,"Panter,Shane Kay"
CS-HU,250,Introduction to Version Contro,3,01:30 pm-02:45 pm We,08/26/2019 - 09/27/2019,260,"Panter,Shane Kay"
CS-HU,269,A Brief Intro Human Comp Inter,1,09:00 am-10:15 am WeFr,08/26/2019 - 10/11/2019,260,"Fails,Jerry Alan"
CS-HU,271,Agile Development,2,01:30 pm-02:45 pm TuTh,08/26/2019 - 09/27/2019,243,"Sherman,Elena"
CS-HU,271,Agile Development,1,10:30 am-11:45 am TuTh,08/26/2019 - 09/27/2019,243,"Sherman,Elena"
CS-HU,310,Intro to Database Systems,1,10:30 am-11:45 am WeFr,08/26/2019 - 09/27/2019,260,"Roy,Camille"
CS-HU,310,Intro to Database Systems,2,10:30 am-11:45 am WeFr,09/30/2019 - 11/01/2019,260,"Roy,Camille"
CS-HU,390,"Technical Interviews, Jobs",1,04:30 pm-05:45 pm TuTh,08/26/2019 - 10/11/2019,260,"Jain,Amit, Mohammad Mousa,Nilab"
CS-HU,398,Current Topics in Computer Sci,1,12:00 pm-01:15 pm Fr,08/26/2019 - 12/13/2019,221,"Andersen,Timothy"
Math,189,Math,1,09:00 am-10:15 am MoWeFr,08/26/2019 - 12/13/2019,243,"Smith, Jason"
Math,189,Math,2,10:30 am-11:45 am MoWeFr,08/26/2019 - 12/13/2019,243,"Smith, Jason"
Math,189,Math,3,01:30 pm-02:45 pm MoWeFr,08/26/2019 - 12/13/2019,TBA,"Mintaek, Lee"
ECE,230,digital systems,1,03:00 pm-04:15 pm MoWe,08/26/2019 - 12/13/2019,TBA,"Anderson, Mark"
ECE,330,microprocessors,1,01:30 pm-02:45 pm TuTh,08/26/2019 - 12/13/2019,TBA,"Anderson, Mark"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
